Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Does the company disclose its membership and involvement in organisations or coalitions dedicated specifically to climate issues?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
Corning,United States of America,USA,Other Industrials,No,medium,US2193501051,2224701,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No
Coronado Global Resources,Australia,AUS,Coal Mining,No,small,AU0000026122,BGV71W0,01/11/2023,17/04/2023,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No
Coronado Global Resources,Australia,AUS,Coal Mining,No,small,AU0000026122,BGV71W0,01/09/2022,15/04/2022,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Coronado Global Resources,Australia,AUS,Coal Mining,No,small,AU0000026122,BGV71W0,01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Costco,United States of America,USA,Services,No,large,US22160K1051,2701271,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,No,Yes,Yes,No,Yes,No,No
Coterra Energy,United States of America,USA,Oil & Gas,No,medium,US1270971039,2162340,01/11/2023,14/02/2023,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No
Coterra Energy,United States of America,USA,Oil & Gas,No,medium,US1270971039,2162340,01/09/2022,07/05/2022,2,unchanged,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Coterra Energy,United States of America,USA,Oil & Gas,No,medium,US1270971039,2162340,01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
Covestro,Germany,DEU,Chemicals,No,medium,DE0006062144,BYTBWY9,01/11/2023,24/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,No,Yes,No
Covestro,Germany,DEU,Chemicals,No,medium,DE0006062144,BYTBWY9,01/09/2022,07/05/2022,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,No,Yes,No
Covestro,Germany,DEU,Chemicals,No,medium,DE0006062144,BYTBWY9,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not applicable,No,Yes,No,No,No,No,No
Croda International,United Kingdom,GBR,Chemicals,No,medium,GB00BJFFLV09,BJFFLV0,01/11/2023,24/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
Croda International,United Kingdom,GBR,Chemicals,No,medium,GB00BJFFLV09,BJFFLV0,01/09/2022,07/05/2022,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,Yes,No,Yes,No
Croda International,United Kingdom,GBR,Chemicals,No,medium,GB00BJFFLV09,BJFFLV0,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,Yes,No,Yes,No
Crown Holdings,United States of America,USA,Other Industrials,No,small,US2283681060,2427986,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,No,No,No
Cummins,United States of America,USA,Other Industrials,Yes,large,US2310211063,2240202,01/11/2023,12/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No
Cummins,United States of America,USA,Other Industrials,Yes,large,US2310211063,2240202,01/09/2022,06/05/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No
Cummins,United States of America,USA,Other Industrials,Yes,large,US2310211063,2240202,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No
D.R. Horton,United States of America,USA,Services,No,medium,US23331A1097,2250687,01/11/2023,24/04/2023,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No
DCP Midstream,United States of America,USA,Oil & Gas Distribution,No,small,US23311P1003,B0SF374,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No
DL,South Korea,KOR,Cement,No,medium,KR7000210005,6249584,01/11/2023,29/04/2023,1,new,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Not Applicable,No,No,No,No,No,No,No
DMCI,Philippines,PHL,Coal Mining,No,medium,PHY2088F1004,6272483,01/11/2023,17/04/2023,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
DMCI,Philippines,PHL,Coal Mining,No,medium,PHY2088F1004,6272483,01/09/2022,06/05/2022,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
DMCI,Philippines,PHL,Coal Mining,No,medium,PHY2088F1004,6272483,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
DS Smith,United Kingdom,GBR,Paper,No,medium,GB0008220112,822011,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
DS Smith,United Kingdom,GBR,Paper,No,medium,GB0008220112,822011,01/09/2022,07/05/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,No,No
DS Smith,United Kingdom,GBR,Paper,No,medium,GB0008220112,822011,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,Yes,No,No,No
DSV,Denmark,DNK,Other Industrials,No,large,DK0060079531,B1WT5G2,01/11/2023,27/03/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,Yes,No,No
DT Midstream,United States of America,USA,Oil & Gas Distribution,No,small,US23345M1071,BN7L880,01/11/2023,04/05/2023,2,unchanged,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No
DT Midstream,United States of America,USA,Oil & Gas Distribution,No,small,US23345M1071,BN7L880,01/09/2022,07/05/2022,2,new,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
DTE Energy,United States of America,USA,Electricity Utilities,No,medium,US2333311072,2280220,01/11/2023,12/05/2023,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,No,Yes,No,No,No,No,No
DTE Energy,United States of America,USA,Electricity Utilities,No,medium,US2333311072,2280220,01/09/2022,07/05/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes,No
DTE Energy,United States of America,USA,Electricity Utilities,No,medium,US2333311072,2280220,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
Daido Steel,Japan,JPN,Steel,No,medium,JP3491000000,6250627,01/11/2023,15/03/2023,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No
Daido Steel,Japan,JPN,Steel,No,medium,JP3491000000,6250627,01/09/2022,08/05/2022,1,unchanged,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Not applicable,No,Yes,No,No,No,No,No
Daido Steel,Japan,JPN,Steel,No,medium,JP3491000000,6250627,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No
Daiki Aluminium,Japan,JPN,Aluminium,No,small,JP3480600000,6250490,01/11/2023,17/04/2023,1,new,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Not Applicable,No,Yes,No,No,No,No,No
Daikin Industries,Japan,JPN,Other Industrials,Yes,large,JP3481800005,6250724,01/11/2023,13/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
Daikin Industries,Japan,JPN,Other Industrials,Yes,large,JP3481800005,6250724,01/09/2022,15/04/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,Yes,Yes,No
Daikin Industries,Japan,JPN,Other Industrials,Yes,large,JP3481800005,6250724,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
Daio Paper,Japan,JPN,Paper,No,small,JP3440400004,6870898,01/11/2023,11/04/2023,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No
Daio Paper,Japan,JPN,Paper,No,small,JP3440400004,6870898,01/09/2022,15/04/2022,1,unchanged,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Not applicable,No,Yes,No,No,No,No,No
Daio Paper,Japan,JPN,Paper,No,small,JP3440400004,6870898,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Not applicable,No,No,No,No,No,No,No
Dalmia Bharat,India,IND,Cement,No,medium,INE00R701025,BFN2YR2,01/11/2023,27/03/2023,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,No,Yes,No
Dalmia Bharat,India,IND,Cement,No,medium,INE00R701025,BFN2YR2,01/09/2022,07/05/2022,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,No,No,Yes,No
Dalmia Bharat,India,IND,Cement,No,medium,INE00R701025,BFN2YR2,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No,No
Danaher,United States of America,USA,Other Industrials,No,large,US2358511028,2250870,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,No,No,No,No,No
Dangote Cement,Nigeria,NGA,Cement,Yes,large,NGDANGCEM008,B4TFNR1,01/11/2023,10/02/2023,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Not Applicable,No,No,No,Yes,No,No,No
Dangote Cement,Nigeria,NGA,Cement,Yes,large,NGDANGCEM008,B4TFNR1,01/09/2022,08/09/2022,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Not applicable,No,No,No,Yes,No,No,No
Dangote Cement,Nigeria,NGA,Cement,Yes,large,NGDANGCEM008,B4TFNR1,01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Not applicable,No,No,No,No,No,No,No
Danone,France,FRA,Food Producers,Yes,large,FR0000120644,B1Y9TB3,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
Danone,France,FRA,Food Producers,Yes,large,FR0000120644,B1Y9TB3,01/09/2022,06/05/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
Danone,France,FRA,Food Producers,Yes,large,FR0000120644,B1Y9TB3,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
Darden Restaurants,United States of America,USA,Services,No,medium,US2371941053,2289874,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No
Darling Ingredients,United States of America,USA,Food Producers,No,small,US2372661015,2250289,01/11/2023,28/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,No,Yes,Yes,No,No,No,No
Darling Ingredients,United States of America,USA,Food Producers,No,small,US2372661015,2250289,01/09/2022,07/05/2022,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,No,Yes,Yes,Yes,No,No,No
Deere & Co,United States of America,USA,Other Industrials,No,large,US2441991054,2261203,01/11/2023,19/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,No,No,Yes,No,No
Dell Technologies,United States of America,USA,Other Industrials,No,large,US24703L2025,BHKD3S6,01/11/2023,05/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,No,No,No
Delta Air Lines,United States of America,USA,Airlines,Yes,large,US2473617023,B1W9D46,01/11/2023,28/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,No,Yes,Yes,Yes,No
Delta Air Lines,United States of America,USA,Airlines,Yes,large,US2473617023,B1W9D46,01/09/2022,10/05/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,No,No,Yes,No
Delta Air Lines,United States of America,USA,Airlines,Yes,large,US2473617023,B1W9D46,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,No,Yes,No
Denka,Japan,JPN,Cement,No,medium,JP3549600009,6309820,01/11/2023,16/02/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
Denka,Japan,JPN,Cement,No,medium,JP3549600009,6309820,01/09/2022,07/05/2022,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
Denka,Japan,JPN,Cement,No,medium,JP3549600009,6309820,01/11/2021,31/03/2021,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
Denso Corporation,Japan,JPN,Other Industrials,No,large,JP3551500006,6640381,01/11/2023,21/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
Deutsche Post,Germany,DEU,Services,No,large,DE0005552004,4617859,01/11/2023,27/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,No,Yes,No,No
Deutsche Telekom,Germany,DEU,Services,No,large,DE0005557508,5842359,01/11/2023,25/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No
Devon Energy,United States of America,USA,Oil & Gas,Yes,medium,US25179M1036,2480677,01/11/2023,05/05/2023,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No
Devon Energy,United States of America,USA,Oil & Gas,Yes,medium,US25179M1036,2480677,01/09/2022,12/03/2022,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No
Devon Energy,United States of America,USA,Oil & Gas,Yes,medium,US25179M1036,2480677,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Diageo,United Kingdom,GBR,Consumer Goods,No,large,GB0002374006,237400,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,Yes,No,No
Diamondback Energy,United States of America,USA,Oil & Gas,No,medium,US25278X1090,B7Y8YR3,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No
Diamondback Energy,United States of America,USA,Oil & Gas,No,medium,US25278X1090,B7Y8YR3,01/09/2022,15/04/2022,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No
Diamondback Energy,United States of America,USA,Oil & Gas,No,medium,US25278X1090,B7Y8YR3,01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Disney,United States of America,USA,Services,No,large,US2546871060,2270726,01/11/2023,26/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,Yes,Yes,No
Dollar General,United States of America,USA,Consumer Goods,No,large,US2566771059,B5B1S13,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Not Applicable,No,Yes,No,No,No,No,No
Dollar Tree,United States of America,USA,Services,No,medium,US2567461080,2272476,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Not Applicable,No,Yes,No,No,No,No,No
Dominion Energy,United States of America,USA,Electricity Utilities,Yes,large,US25746U1097,2542049,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
Dominion Energy,United States of America,USA,Electricity Utilities,Yes,large,US25746U1097,2542049,01/09/2022,07/05/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes,No
Dominion Energy,United States of America,USA,Electricity Utilities,Yes,large,US25746U1097,2542049,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes,No
Domtar,United States of America,USA,Paper,No,small,US2575592033,B1T84Z4,01/11/2023,07/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,No,Yes,No,No,No,Yes,No
Domtar,United States of America,USA,Paper,No,small,US2575592033,B1T84Z4,01/09/2022,07/05/2022,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,No,Yes,No,No,No,Yes,No
Domtar,United States of America,USA,Paper,No,small,US2575592033,B1T84Z4,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,No,No,Yes,No
Dongfeng Motor Group,China,CHN,Autos,No,large,CNE100000312,B0PH5N3,01/11/2023,17/04/2023,1,down,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dongfeng Motor Group,China,CHN,Autos,No,large,CNE100000312,B0PH5N3,01/09/2022,15/04/2022,2,new,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dow,United States of America,USA,Chemicals,Yes,large,US2605571031,BHXCF84,01/11/2023,28/04/2023,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No
Dow,United States of America,USA,Chemicals,Yes,large,US2605571031,BHXCF84,01/09/2022,07/05/2022,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,No,No,Yes,No
Dow,United States of America,USA,Chemicals,Yes,large,US2605571031,BHXCF84,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not applicable,No,Yes,No,No,No,No,No
Drax Group,United Kingdom,GBR,Electricity Utilities,No,small,GB00B1VNSX38,B1VNSX3,01/11/2023,24/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
DuPont de Nemours,United States of America,USA,Chemicals,No,large,US26614N1028,BK0VN47,01/11/2023,19/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,No,No,No
DuPont de Nemours,United States of America,USA,Chemicals,No,large,US26614N1028,BK0VN47,01/09/2022,15/04/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,No,No,No
DuPont de Nemours,United States of America,USA,Chemicals,No,large,US26614N1028,BK0VN47,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,Yes,No,No,No
Dubai Electricity and Water Authority,United Arab Emirates,ARE,Electricity Utilities,No,large,AED001801011,BJLTVJ4,01/11/2023,17/04/2023,2,new,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Not Applicable,No,Yes,No,No,No,No,No
Duke Energy,United States of America,USA,Electricity Utilities,Yes,large,US26441C2044,B7VD3F2,01/11/2023,26/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,No,Yes,Yes,No,Yes,Yes,No
Duke Energy,United States of America,USA,Electricity Utilities,Yes,large,US26441C2044,B7VD3F2,01/09/2022,06/05/2022,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,No,Yes,Yes,No,Yes,Yes,No
Duke Energy,United States of America,USA,Electricity Utilities,Yes,large,US26441C2044,B7VD3F2,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
E.ON,Germany,DEU,Electricity Utilities,Yes,large,DE000ENAG999,4942904;4943190,01/11/2023,04/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
E.ON,Germany,DEU,Electricity Utilities,Yes,large,DE000ENAG999,4942904;4943190,01/09/2022,07/05/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
E.ON,Germany,DEU,Electricity Utilities,Yes,large,DE000ENAG999,4942904;4943190,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
EDF,France,FRA,Electricity Utilities,Yes,large,FR0010242511,B0NJJ17,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
EDF,France,FRA,Electricity Utilities,Yes,large,FR0010242511,B0NJJ17,01/09/2022,07/05/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
EDF,France,FRA,Electricity Utilities,Yes,large,FR0010242511,B0NJJ17,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,Yes
EDP,Portugal,PRT,Electricity Utilities,No,large,PTEDP0AM0009,4103596,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
EDP,Portugal,PRT,Electricity Utilities,No,large,PTEDP0AM0009,4103596,01/09/2022,06/05/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
EDP,Portugal,PRT,Electricity Utilities,No,large,PTEDP0AM0009,4103596,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
EDP Renovaveis,Portugal,PRT,Electricity Utilities,No,small,ES0127797019,B39GNW2,01/11/2023,01/05/2023,2,new,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Not Applicable,No,No,No,Yes,No,No,No
